id,name,totalDocks,streetAddress,streetAddress/address2,neighborhood,postalCode,latitude,longitude,loc,entityTitle,@context,@type,@id
168,W 18 St & 6 Av,47,W 18 St & 6 Av,,Flatiron District,10011,40.73971301,-73.99456405,"[ -73.99456404999999, 40.73971301 ]",w_18_st_6_av,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/w_18_st_6_av
173,Broadway & W 49 St,51,Broadway & W 49 St,,Theater District,10019,40.76064679,-73.98442659,"[ -73.98442659, 40.76064679 ]",broadway_w_49_st,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/broadway_w_49_st
174,E 25 St & 1 Ave,30,E 25 St & 1 Ave,,Kips Bay,10016,40.7381765,-73.97738662,"[ -73.97738662, 40.7381765 ]",e_25_st_1_ave,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/e_25_st_1_ave
195,Liberty St & Broadway,45,Liberty St & Broadway,,Financial District,10005,40.70905623,-74.01043382,"[ -74.01043382, 40.70905623 ]",liberty_st_broadway,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/liberty_st_broadway
212,W 16 St & The High Line,28,W 16 St & The High Line,,Chelsea,10011,40.74334935,-74.00681753,"[ -74.00681753000001, 40.74334935 ]",w_16_st_the_high_line,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/w_16_st_the_high_line
216,Columbia Heights & Cranberry St,20,Columbia Heights & Cranberry St,,Brooklyn Heights,11201,40.70037867,-73.99548059,"[ -73.99548059, 40.70037867 ]",columbia_heights_cranberry_st,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/columbia_heights_cranberry_st
217,Old Fulton St,39,Old Fulton St,,Fulton Ferry,11201,40.70277159,-73.99383605,"[ -73.99383605, 40.70277159 ]",old_fulton_st,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/old_fulton_st
218,Gallatin Pl & Livingston St,38,Gallatin Pl & Livingston St,,Downtown Brooklyn,11201,40.69028437,-73.98707105,"[ -73.98707105, 40.69028437 ]",gallatin_pl_livingston_st,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/gallatin_pl_livingston_st
223,W 13 St & 7 Ave,33,W 13 St & 7 Ave,,West Village,10011,40.73781509,-73.99994661,"[ -73.99994660999999, 40.73781509 ]",w_13_st_7_ave,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/w_13_st_7_ave
224,Spruce St & Nassau St,31,Spruce St & Nassau St,,Financial District,10038,40.71146364,-74.00552427,"[ -74.00552427, 40.71146364 ]",spruce_st_nassau_st,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/spruce_st_nassau_st
225,W 14 St & The High Line,37,W 14 St & The High Line,,Meat Packing District,10014,40.74195138,-74.00803013,"[ -74.00803012999999, 40.74195138 ]",w_14_st_the_high_line,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/w_14_st_the_high_line
228,E 48 St & 3 Ave,55,E 48 St & 3 Ave,,Midtown,10017,40.7546011,-73.97187886,"[ -73.971878855, 40.7546011026 ]",e_48_st_3_ave,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/e_48_st_3_ave
229,Great Jones St,27,Great Jones St,,NoHo,10012,40.72743423,-73.99379025,"[ -73.99379025, 40.72743423 ]",great_jones_st,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/great_jones_st
232,Cadman Plaza E & Tillary St,23,Cadman Plaza E & Tillary St,,Downtown Brooklyn,11201,40.69597683,-73.99014892,"[ -73.99014892, 40.69597683 ]",cadman_plaza_e_tillary_st,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/cadman_plaza_e_tillary_st
233,Joralemon St & Adams St,39,Joralemon St & Adams St,,Downtown Brooklyn,11201,40.69246277,-73.98963911,"[ -73.98963911, 40.69246277 ]",joralemon_st_adams_st,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/joralemon_st_adams_st
236,St Marks Pl & 2 Ave,39,St Marks Pl & 2 Ave,,East Village,10003,40.7284186,-73.98713956,"[ -73.98713956, 40.7284186 ]",st_marks_pl_2_ave,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/st_marks_pl_2_ave
237,E 11 St & 2 Ave,39,E 11 St & 2 Ave,,East Village,10003,40.73047309,-73.98672378,"[ -73.98672378000001, 40.73047309 ]",e_11_st_2_ave,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/e_11_st_2_ave
238,Bank St & Washington St,31,Bank St & Washington St,,West Village,10014,40.7361967,-74.00859207,"[ -74.00859207000001, 40.7361967 ]",bank_st_washington_st,http://schema.org,CivicStructure,http://nyc.pediacities.com/Resource/CivicStructure/bank_st_washington_st
