Carrier,Month,Day,Weekday,Departure (hhhh),Air Time (min),Arrival (hhhh),Distance (miles),Total Delay (min),Status
6,1,6,1,915,180,1246,1069,158,1
6,1,7,2,904,220,1207,1521,0,0
6,1,8,3,944,47,1047,209,19,1
6,1,8,3,938,85,1130,541,134,1
6,1,8,3,938,47,1039,273,22,1
6,1,8,3,928,47,1040,266,0,0
6,1,11,6,914,162,1349,1069,115,1
6,1,11,6,953,140,1354,944,123,1
6,1,11,6,925,54,1210,264,83,1
6,1,12,7,918,48,1051,273,17,1
6,1,10,5,956,46,1102,209,46,1
6,1,10,5,911,54,1026,273,0,0
6,1,10,5,922,51,1109,266,25,1
6,1,10,5,918,237,1246,1521,33,1
6,1,10,5,924,135,1215,944,0,0
6,1,10,5,934,156,1315,1069,101,1
6,1,10,5,923,52,1115,264,28,1
6,1,10,5,951,326,1255,2475,30,1
6,1,11,6,935,41,1209,209,94,1
6,1,11,6,928,48,1207,266,83,1
6,1,11,6,923,48,1204,273,92,1
6,1,13,1,913,47,1025,273,0,0
6,1,13,1,922,43,1032,266,0,0
6,1,13,1,942,41,1044,209,14,1
6,1,13,1,952,315,1234,2248,0,0
6,1,13,1,936,328,1239,2475,6,1
6,1,13,1,918,53,1042,264,0,0
6,1,14,2,912,48,1021,273,0,0
6,1,14,2,918,43,1025,266,0,0
6,1,14,2,929,46,1029,209,0,0
6,1,14,2,922,54,1036,264,0,0
6,1,14,2,953,298,1215,2248,0,0
6,1,14,2,929,319,1207,2475,0,0
6,1,14,2,908,230,1219,1521,3,1
6,1,16,4,902,37,1025,187,11,1
6,1,16,4,913,44,1036,273,2,1
6,1,16,4,939,45,1057,209,24,1
6,1,16,4,924,155,1231,944,12,1
6,1,16,4,935,50,1102,264,25,1
6,1,16,4,927,317,1223,2475,0,0
6,1,16,4,901,230,1233,1521,7,1
6,1,16,4,957,290,1212,2248,0,0
6,1,17,5,926,42,1024,266,0,0
6,1,17,5,917,48,1026,273,0,0
6,1,17,5,927,44,1027,209,0,0
6,1,17,5,901,170,1228,1069,21,1
6,1,17,5,924,151,1213,944,0,0
6,1,17,5,906,228,1222,1521,1,1
6,1,19,7,924,140,1211,944,0,0
6,1,19,7,913,202,1156,1521,8,1
6,1,12,7,958,127,1231,944,45,1
6,1,12,7,956,313,1240,2248,0,0
6,1,12,7,928,210,1224,1521,23,1
6,1,12,7,907,150,1224,1069,23,1
6,1,12,7,938,346,1256,2475,18,1
6,1,12,7,907,358,1247,2586,44,1
6,1,17,5,956,291,1214,2248,0,0
6,1,17,5,922,52,1031,264,0,0
6,1,17,5,934,317,1207,2475,4,1
6,1,18,6,931,44,1030,273,10,1
6,1,18,6,924,43,1027,209,0,0
6,1,18,6,924,41,1025,266,0,0
6,1,18,6,906,170,1230,1069,28,1
6,1,18,6,928,156,1233,944,17,1
6,1,18,6,949,52,1100,264,37,1
6,1,19,7,920,48,1035,266,0,0
6,1,19,7,927,46,1035,209,0,0
6,1,19,7,917,51,1022,273,0,0
6,1,9,4,917,47,1023,273,0,0
6,1,9,4,917,37,1014,187,12,1
6,1,9,4,953,48,1053,209,34,1
6,1,9,4,924,48,1035,266,0,0
6,1,9,4,917,147,1159,944,109,1
6,1,9,4,954,50,1105,264,47,1
6,1,9,4,910,230,1222,1521,5,1
6,1,9,4,939,143,1218,944,14,1
6,1,9,4,902,197,1349,1598,97,1
6,1,9,4,907,169,1228,1069,27,1
6,1,9,4,958,312,1245,2248,0,0
6,1,15,3,939,42,1050,209,17,1
6,1,15,3,921,41,1046,266,2,1
