Carrier,Month,Day,Weekday,Departure (hhhh),Air Time (min),Arrival (hhhh),Distance (miles),Total Delay (min),Status
7,10,16,4,911,247,1402,1598,85,1
7,10,17,5,943,323,1225,2422,0,0
7,10,17,5,922,352,1236,2475,0,0
7,10,17,5,930,329,1222,2475,0,0
7,10,17,5,916,310,1152,2153,71,1
7,10,17,5,907,201,1248,1598,7,1
7,10,19,7,944,326,1231,2422,0,0
7,10,19,7,926,312,1217,2475,0,0
7,10,20,1,951,327,1239,2422,6,1
7,10,20,1,924,315,1159,2475,0,0
7,10,21,2,938,303,1205,2422,0,0
7,10,21,2,930,314,1214,2475,0,0
7,10,22,3,938,350,1336,2586,107,1
7,10,22,3,919,273,1213,2153,96,1
7,10,22,3,912,293,1201,2446,61,1
7,10,22,3,926,280,1226,2248,134,1
6,10,1,3,927,42,1032,209,0,0
6,10,1,3,926,337,1229,2475,4,1
6,10,1,3,951,45,1050,264,6,1
6,10,1,3,916,209,1221,1521,5,1
6,10,1,3,900,101,1117,718,4,1
6,10,5,7,924,44,1029,209,0,0
6,10,5,7,919,332,1216,2446,71,1
6,10,5,7,922,335,1240,2475,15,1
6,10,5,7,941,52,1058,264,0,0
6,10,5,7,925,228,1246,1521,33,1
6,10,6,1,921,334,1216,2422,44,1
6,10,6,1,927,45,1031,209,0,0
6,10,6,1,929,323,1218,2475,0,0
6,10,6,1,900,141,1157,944,9,1
6,10,6,1,936,51,1045,264,0,0
3,10,24,5,918,76,1100,541,98,1
4,10,1,3,940,313,1219,2248,4,1
4,10,1,3,915,337,1221,2475,6,1
4,10,10,5,946,310,1217,2248,1,1
4,10,10,5,924,332,1218,2475,0,0
4,10,11,6,943,317,1221,2248,0,0
4,10,11,6,927,327,1214,2475,0,0
4,10,12,7,948,311,1225,2248,3,1
4,10,12,7,928,321,1216,2475,0,0
4,10,16,4,926,328,1234,2475,0,0
4,10,17,5,945,319,1226,2248,0,0
4,10,17,5,923,346,1237,2475,0,0
4,10,18,6,944,300,1208,2248,0,0
4,10,18,6,927,324,1218,2475,0,0
4,10,19,7,944,289,1200,2248,0,0
4,10,19,7,927,311,1209,2475,0,0
4,10,2,4,943,313,1217,2248,2,1
4,10,21,2,934,288,1145,2248,0,0
4,10,21,2,927,316,1212,2475,0,0
4,10,22,3,937,314,1306,2475,28,1
4,10,2,4,916,338,1218,2475,3,1
4,10,20,1,950,287,1159,2248,5,1
4,10,20,1,926,313,1206,2475,0,0
4,10,5,7,937,313,1229,2248,14,1
4,10,5,7,919,339,1237,2475,22,1
4,10,6,1,945,306,1224,2248,0,0
4,10,7,2,947,320,1237,2248,9,1
4,10,7,2,929,339,1236,2475,0,0
4,10,8,3,938,317,1234,2248,4,1
4,10,8,3,925,347,1252,2475,7,1
4,10,9,4,940,314,1225,2248,0,0
4,10,9,4,926,343,1244,2475,0,0
4,10,23,4,942,293,1214,2248,0,0
4,10,23,4,926,319,1228,2475,0,0
4,10,24,5,949,290,1203,2248,4,1
4,10,24,5,927,318,1222,2475,0,0
4,10,25,6,940,299,1208,2248,0,0
4,10,25,6,926,324,1215,2475,0,0
4,10,26,7,946,319,1234,2248,5,1
4,10,26,7,927,340,1246,2475,1,1
4,10,27,1,945,319,1229,2248,0,0
4,10,27,1,927,340,1235,2475,0,0
4,10,13,1,941,314,1220,2248,0,0
4,10,13,1,923,326,1222,2475,0,0
4,10,14,2,944,287,1200,2248,0,0
4,10,14,2,929,315,1215,2475,0,0
4,10,15,3,942,295,1219,2248,0,0
4,10,15,3,924,320,1231,2475,0,0
4,10,28,2,942,315,1219,2248,0,0
4,10,28,2,920,345,1227,2475,0,0
4,10,29,3,919,337,1218,2475,0,0
4,10,3,5,943,311,1223,2248,8,1
4,10,3,5,923,333,1220,2475,8,1
4,10,30,4,948,298,1220,2248,3,1
4,10,30,4,918,318,1210,2475,0,0
4,10,31,5,943,303,1220,2248,0,0
4,10,31,5,913,318,1153,2475,0,0
4,10,4,6,942,313,1220,2248,5,1
4,10,4,6,917,327,1222,2475,7,1
2,10,14,2,925,320,1214,2586,26,1
0,10,6,1,913,66,1038,427,91,1
2,10,31,5,956,323,1251,2475,147,1
2,10,31,5,924,343,1228,2586,0,0
2,10,29,3,927,338,1225,2586,0,0
2,10,30,4,928,329,1237,2586,0,0
2,10,28,2,923,356,1241,2586,0,0
2,10,27,1,927,355,1250,2586,0,0
2,10,26,7,924,359,1256,2586,0,0
2,10,23,4,900,331,1204,2586,0,0
2,10,22,3,915,334,1249,2586,51,1
2,10,11,6,901,350,1217,2586,5,1
2,10,3,5,913,345,1226,2586,26,1
2,10,1,3,902,327,1157,2475,56,1
2,10,1,3,906,347,1224,2586,17,1
2,10,2,4,928,359,1248,2586,63,1
3,10,3,5,913,86,1057,541,90,1
7,10,21,2,908,196,1242,1598,8,1
7,10,22,3,903,141,1212,1069,66,1
7,10,23,4,945,335,1300,2422,11,1
7,10,23,4,939,302,1224,2475,9,1
7,10,23,4,901,273,1115,2153,19,1
7,10,23,4,940,141,1238,1069,129,1
7,10,24,5,953,336,1248,2422,8,1
7,10,24,5,927,302,1201,2475,0,0
7,10,24,5,900,189,1242,1598,0,0
7,10,24,5,947,270,1134,2153,84,1
7,10,26,7,950,340,1259,2422,15,1
7,10,26,7,924,335,1304,2475,19,1
7,10,26,7,901,325,1158,2446,47,1
7,10,27,1,940,330,1238,2422,0,0
7,10,27,1,924,338,1228,2475,0,0
7,10,28,2,948,317,1224,2422,3,1
7,10,28,2,925,334,1223,2475,0,0
7,10,28,2,902,107,1112,760,44,1
6,10,30,4,932,138,1225,944,2,1
6,10,30,4,913,152,1210,1028,26,1
6,10,30,4,904,111,1116,718,4,1
6,10,30,4,904,46,1015,266,0,0
6,10,31,5,931,46,1037,209,0,0
7,10,30,4,938,333,1249,2422,0,0
7,10,30,4,923,324,1228,2475,0,0
7,10,31,5,939,317,1223,2422,0,0
7,10,31,5,930,331,1222,2475,0,0
7,10,29,3,941,330,1229,2422,0,0
7,10,29,3,924,333,1221,2475,0,0
1,10,12,7,950,45,1113,228,0,0
1,10,10,5,953,51,1108,228,0,0
1,10,14,2,959,46,1117,228,3,1
1,10,23,4,951,45,1113,228,0,0
1,10,17,5,956,45,1102,228,0,0
1,10,2,4,957,43,1101,228,0,0
1,10,9,4,952,45,1057,228,0,0
1,10,6,1,959,48,1113,228,0,0
1,10,20,1,954,45,1055,228,0,0
1,10,5,7,957,56,1125,228,11,1
1,10,18,6,949,51,1054,228,0,0
1,10,25,6,956,42,1101,228,0,0
1,10,11,6,958,51,1115,228,1,1
1,10,21,2,952,41,1059,228,0,0
1,10,19,7,950,43,1053,228,0,0
8,10,2,4,959,617,1439,4983,0,0
8,10,3,5,957,596,1417,4983,0,0
8,10,5,7,956,617,1438,4983,0,0
8,10,6,1,954,628,1452,4983,7,1
8,10,9,4,950,620,1427,4983,0,0
8,10,10,5,951,612,1423,4983,0,0
8,10,11,6,958,593,1416,4983,0,0
8,10,12,7,952,601,1411,4983,0,0
8,10,13,1,947,628,1435,4983,0,0
8,10,16,4,958,622,1456,4983,11,1
8,10,17,5,951,628,1446,4983,1,1
8,10,18,6,956,632,1446,4983,1,1
8,10,19,7,955,627,1443,4983,0,0
8,10,20,1,959,616,1434,4983,0,0
8,10,24,5,957,612,1428,4983,0,0
8,10,25,6,956,621,1437,4983,0,0
8,10,27,1,956,621,1433,4983,0,0
8,10,30,4,954,627,1446,4983,1,1
8,10,31,5,955,633,1446,4983,1,1
0,10,2,4,937,43,1038,213,92,1
0,10,22,3,903,44,1106,213,86,1
7,11,19,3,924,182,1249,1069,159,1
7,11,19,3,927,330,1249,2422,0,0
7,11,19,3,923,337,1243,2475,0,0
7,11,20,4,929,327,1222,2422,0,0
7,11,20,4,926,345,1243,2475,0,0
7,11,21,5,928,335,1241,2422,0,0
7,11,21,5,924,327,1234,2475,0,0
7,11,22,6,905,336,1215,2422,0,0
7,11,22,6,911,187,1346,1598,11,1
7,11,22,6,915,331,1202,2446,58,1
7,11,24,1,928,321,1224,2475,0,0
7,11,23,7,927,345,1234,2475,0,0
7,11,23,7,907,91,1100,509,0,0
7,11,26,3,929,343,1238,2422,0,0
7,11,26,3,946,329,1254,2475,17,1
7,11,26,3,913,181,1159,1182,153,1
7,11,26,3,900,336,1212,2586,0,0
6,11,2,7,959,215,1511,1598,45,1
6,11,16,7,912,43,1010,266,0,0
6,11,17,1,945,44,1050,209,0,0
6,11,17,1,922,42,1023,273,2,1
6,11,17,1,947,329,1239,2475,0,0
6,11,17,1,958,192,1428,1598,8,1
6,11,17,1,958,306,1229,2248,0,0
6,11,17,1,930,142,1216,944,0,0
6,11,17,1,905,51,1027,264,7,1
7,11,27,4,926,90,1121,509,29,1
7,11,26,3,945,200,1450,1598,106,1
7,11,27,4,926,324,1230,2475,0,0
7,11,28,5,913,94,1113,509,8,1
7,11,29,6,947,363,1340,2422,68,1
7,11,30,7,925,355,1245,2422,0,0
7,11,30,7,926,362,1312,2475,19,1
7,11,30,7,910,338,1204,2446,53,1
8,11,7,5,949,621,1552,4983,0,0
8,11,8,6,952,636,1551,4983,0,0
8,11,9,7,952,654,1607,4983,7,1
8,11,10,1,953,654,1617,4983,17,1
8,11,13,4,950,680,1634,4983,34,1
8,11,14,5,958,660,1655,4983,55,1
8,11,15,6,954,652,1612,4983,12,1
7,11,25,2,922,344,1228,2422,0,0
7,11,25,2,926,323,1213,2475,0,0
8,11,16,7,950,642,1548,4983,0,0
8,11,18,2,954,639,1606,4983,6,1
8,11,19,3,959,635,1601,4983,1,1
8,11,20,4,958,637,1553,4983,0,0
8,11,22,6,959,629,1544,4983,0,0
8,11,23,7,950,643,1550,4983,0,0
8,11,24,1,953,625,1542,4983,0,0
8,11,25,2,954,639,1554,4983,0,0
8,11,28,5,952,670,1622,4983,22,1
8,11,29,6,958,670,1626,4983,26,1
8,11,1,6,954,615,1432,4983,0,0
8,11,2,7,956,637,1613,4983,13,1
8,11,3,1,954,635,1553,4983,0,0
8,11,6,4,955,627,1553,4983,0,0
0,11,1,6,930,90,1114,427,144,1
0,11,4,2,914,66,1051,427,105,1
0,11,12,3,943,47,1055,213,116,1
0,11,18,2,920,52,1048,213,86,1
2,11,26,3,931,347,1248,2586,1,1
2,11,21,5,923,340,1244,2586,0,0
2,11,20,4,930,358,1257,2586,0,0
2,11,18,2,926,346,1249,2586,0,0
2,11,16,7,926,361,1301,2586,0,0
2,11,25,2,933,355,1243,2586,3,1
2,11,14,5,926,363,1314,2586,8,1
2,11,11,2,924,357,1259,2586,0,0
2,11,12,3,930,369,1257,2586,0,0
2,11,10,1,924,358,1251,2586,0,0
2,11,9,7,921,360,1248,2586,0,0
2,11,7,5,933,354,1309,2586,6,1
2,11,5,3,929,352,1236,2586,0,0
2,11,6,4,929,352,1302,2586,0,0
2,11,3,1,922,348,1234,2586,0,0
2,11,4,2,923,345,1230,2586,0,0
2,11,2,7,928,344,1300,2586,0,0
3,11,8,6,953,293,1315,2153,0,0
3,11,7,5,957,289,1329,2153,3,1
3,11,6,4,959,293,1318,2153,4,1
3,11,10,1,948,299,1317,2153,0,0
3,11,11,2,948,303,1324,2153,0,0
3,11,12,3,953,300,1320,2153,0,0
3,11,9,7,951,293,1303,2153,0,0
3,11,13,4,949,332,1350,2153,22,1
3,11,15,6,948,318,1331,2153,3,1
3,11,14,5,949,310,1346,2153,18,1
3,11,16,7,955,327,1345,2153,17,1
3,11,20,4,949,314,1325,2153,0,0
3,11,17,1,950,306,1325,2153,0,0
3,11,23,7,951,298,1309,2153,0,0
3,11,19,3,950,318,1337,2153,9,1
3,11,21,5,951,303,1330,2153,2,1
3,11,22,6,951,302,1308,2153,0,0
3,11,25,2,952,300,1318,2153,0,0
3,11,27,4,953,291,1304,2153,0,0
3,11,26,3,955,290,1307,2153,0,0
3,11,29,6,949,304,1315,2153,0,0
4,11,11,2,941,314,1214,2248,0,0
4,11,11,2,930,341,1234,2475,10,1
4,11,12,3,937,326,1222,2248,0,0
4,11,12,3,920,343,1223,2475,0,0
4,11,13,4,943,325,1234,2248,4,1
4,11,13,4,912,367,1243,2475,8,1
3,11,28,5,954,299,1318,2153,0,0
4,11,1,6,941,298,1200,2248,0,0
4,11,1,6,916,329,1206,2475,0,0
4,11,10,1,940,322,1233,2248,3,1
4,11,10,1,919,345,1238,2475,3,1
4,11,18,2,931,315,1227,2248,0,0
4,11,18,2,911,334,1220,2475,0,0
3,11,30,7,951,294,1309,2153,0,0
4,11,23,7,939,314,1211,2248,0,0
4,11,23,7,913,341,1218,2475,0,0
4,11,24,1,940,306,1219,2248,0,0
4,11,24,1,917,332,1227,2475,0,0
4,11,25,2,942,309,1209,2248,0,0
4,11,25,2,916,335,1210,2475,0,0
4,11,26,3,941,305,1218,2248,0,0
4,11,26,3,913,323,1209,2475,0,0
4,11,27,4,945,311,1216,2248,0,0
4,11,27,4,916,329,1210,2475,0,0
2,11,30,7,929,361,1255,2586,0,0
4,11,14,5,945,322,1251,2248,21,1
4,11,14,5,912,366,1310,2475,35,1
4,11,15,6,939,322,1230,2248,0,0
4,11,15,6,913,361,1249,2475,14,1
4,11,16,7,941,336,1250,2248,20,1
4,11,16,7,920,355,1236,2475,1,1
4,11,17,1,942,313,1214,2248,0,0
4,11,17,1,923,363,1250,2475,18,1
4,11,29,6,936,321,1222,2248,0,0
4,11,29,6,913,346,1225,2475,0,0
4,11,3,1,944,308,1212,2248,0,0
4,11,3,1,917,335,1210,2475,0,0
4,11,30,7,944,331,1235,2248,0,0
4,11,30,7,917,358,1250,2475,5,1
4,11,4,2,937,309,1207,2248,0,0
4,11,4,2,911,332,1204,2475,0,0
4,11,5,3,937,322,1227,2248,0,0
4,11,5,3,931,331,1231,2475,11,1
4,11,6,4,938,298,1217,2248,0,0
4,11,6,4,916,330,1222,2475,0,0
4,11,19,3,941,324,1238,2248,8,1
4,11,19,3,915,350,1238,2475,3,1
4,11,2,7,944,297,1237,2248,7,1
4,11,2,7,920,334,1243,2475,8,1
4,11,20,4,944,322,1231,2248,1,1
4,11,20,4,918,346,1224,2475,0,0
4,11,21,5,942,336,1259,2248,24,1
4,11,21,5,922,330,1229,2475,2,1
4,11,22,6,942,316,1220,2248,0,0
4,11,22,6,915,345,1229,2475,0,0
4,11,7,5,945,301,1238,2248,8,1
4,11,7,5,918,324,1223,2475,0,0
4,11,8,6,910,324,1153,2475,0,0
4,11,9,7,943,318,1221,2248,0,0
4,11,9,7,915,326,1209,2475,0,0
2,11,17,1,947,354,1313,2586,24,1
3,11,24,1,951,294,1314,2153,0,0
5,11,2,7,901,337,1219,2475,10,1
5,11,11,2,900,346,1221,2475,0,0
5,11,15,6,902,364,1246,2475,18,1
5,11,19,3,901,357,1251,2475,22,1
5,11,24,1,933,341,1256,2475,59,1
5,11,26,3,900,330,1238,2475,8,1
5,11,16,7,917,381,1305,2586,162,1
5,11,16,7,903,138,1053,740,123,1
5,11,1,6,956,322,1240,2475,0,0
5,11,2,7,952,335,1306,2475,7,1
5,11,3,1,956,331,1244,2475,0,0
5,11,4,2,957,330,1252,2475,0,0
5,11,5,3,955,333,1301,2475,2,1
5,11,6,4,955,312,1243,2475,0,0
5,11,8,6,952,317,1243,2475,0,0
5,11,9,7,957,350,1315,2475,0,0
5,11,10,1,958,342,1304,2475,0,0
5,11,11,2,956,338,1303,2475,0,0
5,11,12,3,956,344,1303,2475,0,0
5,11,13,4,952,358,1315,2475,0,0
5,11,14,5,957,357,1335,2475,15,1
5,11,15,6,951,340,1253,2475,0,0
5,11,16,7,950,372,1331,2475,11,1
5,11,17,1,953,344,1303,2475,0,0
5,11,18,2,954,341,1318,2475,0,0
5,11,19,3,954,349,1315,2475,0,0
5,11,20,4,957,342,1327,2475,7,1
5,11,21,5,958,326,1258,2475,0,0
5,11,22,6,952,349,1302,2475,0,0
5,11,25,2,955,361,1326,2475,6,1
5,11,26,3,955,332,1244,2475,0,0
5,11,27,4,957,325,1250,2475,0,0
5,11,29,6,953,336,1249,2475,0,0
5,11,30,7,955,356,1308,2475,0,0
5,11,3,1,931,139,1215,1089,101,1
5,11,8,6,919,159,1228,1089,90,1
5,11,17,1,915,150,1216,1089,74,1
5,11,14,5,919,204,1433,1623,177,1
5,11,1,6,901,179,1129,1391,1,1
5,11,7,5,900,196,1200,1391,0,0
5,11,14,5,901,208,1224,1391,15,1
5,11,25,2,900,219,1202,1391,0,0
6,11,1,6,908,144,1150,1028,8,1
6,11,1,6,957,141,1238,1005,0,0
6,11,1,6,902,42,1008,266,0,0
6,11,1,6,901,153,1150,1069,1,1
6,11,2,7,948,327,1254,2475,0,0
6,11,2,7,928,131,1218,944,0,0
6,11,2,7,907,126,1148,1028,2,1
6,11,2,7,905,134,1200,1069,5,1
6,11,30,7,922,125,1152,944,140,1
6,11,1,6,948,319,1228,2475,0,0
6,11,1,6,944,215,1347,1598,12,1
6,11,1,6,943,148,1232,944,2,1
6,11,3,1,927,330,1221,2446,34,1
6,11,3,1,914,63,1031,273,0,0
6,11,3,1,947,334,1242,2475,0,0
6,11,14,5,915,53,1055,273,18,1
6,11,3,1,944,122,1201,944,13,1
6,11,3,1,917,129,1146,1028,12,1
6,11,3,1,958,132,1233,1005,0,0
6,11,3,1,911,50,1018,266,0,0
6,11,4,2,935,46,1036,209,0,0
6,11,4,2,914,51,1019,273,0,0
6,11,4,2,946,326,1234,2475,0,0
6,11,25,2,900,193,1243,1074,26,1
6,11,4,2,956,309,1232,2248,0,0
6,11,4,2,939,121,1157,944,8,1
6,11,7,5,907,49,1038,266,5,1
6,11,8,6,940,46,1042,209,0,0
6,11,8,6,913,49,1022,273,0,0
6,11,8,6,942,330,1239,2475,0,0
6,11,4,2,905,45,1009,266,0,0
6,11,5,3,939,44,1047,209,0,0
6,11,5,3,914,47,1015,273,0,0
6,11,5,3,950,332,1251,2475,0,0
6,11,5,3,945,204,1443,1598,8,1
6,11,5,3,958,314,1239,2248,0,0
6,11,5,3,927,126,1147,944,0,0
6,11,8,6,904,142,1147,1028,0,0
6,11,8,6,958,143,1249,1005,0,0
6,11,8,6,913,44,1013,266,0,0
6,11,9,7,935,43,1043,209,0,0
6,11,12,3,942,49,1043,209,0,0
6,11,12,3,916,40,1011,273,0,0
6,11,12,3,951,343,1254,2475,1,1
6,11,21,5,917,167,1242,1074,37,1
6,11,12,3,902,137,1142,1028,0,0
6,11,12,3,910,39,1008,266,0,0
6,11,13,4,938,43,1044,209,0,0
6,11,13,4,915,44,1026,273,0,0
6,11,13,4,943,351,1300,2475,0,0
6,11,13,4,952,315,1233,2248,0,0
6,11,13,4,928,145,1223,944,0,0
6,11,19,3,927,168,1300,944,36,1
6,11,3,1,944,48,1050,209,0,0
6,11,6,4,941,43,1054,209,0,0
6,11,6,4,902,316,1142,2446,2,1
6,11,6,4,931,42,1034,273,11,1
6,11,6,4,948,317,1229,2475,0,0
6,11,6,4,957,291,1231,2248,0,0
6,11,6,4,927,145,1225,944,1,1
6,11,6,4,912,40,1028,266,0,0
6,11,7,5,937,48,1110,209,13,1
6,11,2,7,942,46,1107,266,33,1
6,11,7,5,944,321,1250,2475,0,0
6,11,7,5,959,137,1306,1005,6,1
6,11,13,4,901,148,1156,1028,0,0
6,11,13,4,906,41,1016,266,0,0
6,11,14,5,938,52,1108,209,11,1
6,11,2,7,948,60,1126,273,77,1
6,11,5,3,907,40,1005,266,0,0
6,11,10,1,914,45,1028,266,0,0
6,11,11,2,935,41,1032,209,0,0
6,11,11,2,914,46,1022,273,0,0
6,11,11,2,946,340,1251,2475,0,0
6,11,21,5,955,49,1116,209,29,1
6,11,11,2,950,324,1235,2248,0,0
6,11,7,5,913,58,1054,273,17,1
6,11,11,2,933,128,1215,944,2,1
6,11,11,2,919,49,1030,264,24,1
6,11,11,2,908,148,1208,1028,9,1
6,11,11,2,914,42,1022,266,0,0
6,11,11,2,910,140,1157,1069,10,1
6,11,16,7,917,48,1016,273,0,0
6,11,16,7,948,351,1259,2475,0,0
6,11,26,3,900,169,1232,1069,28,1
6,11,16,7,955,190,1429,1598,5,1
6,11,16,7,927,139,1205,944,0,0
6,11,16,7,901,158,1158,1028,0,0
6,11,14,5,908,45,1043,266,10,1
6,11,14,5,902,157,1215,1069,13,1
6,11,15,6,919,51,1044,273,7,1
6,11,15,6,948,359,1318,2475,10,1
6,11,15,6,946,187,1428,1598,0,0
6,11,15,6,926,143,1232,944,8,1
6,11,24,1,948,141,1257,944,50,1
6,11,27,4,934,112,1211,718,85,1
6,11,15,6,958,154,1257,1005,0,0
6,11,25,2,941,192,1312,944,58,1
6,11,15,6,915,44,1037,266,4,1
6,11,16,7,935,44,1035,209,0,0
6,11,17,1,915,40,1016,266,0,0
6,11,6,4,930,52,1057,264,62,1
6,11,18,2,938,50,1106,209,9,1
6,11,18,2,906,338,1219,2446,11,1
6,11,18,2,927,43,1045,273,15,1
6,11,18,2,941,325,1251,2475,0,0
6,11,18,2,959,305,1236,2248,0,0
6,11,18,2,900,57,1036,264,11,1
6,11,18,2,947,214,1450,1598,15,1
6,11,8,6,957,213,1450,1598,22,1
6,11,18,2,900,174,1233,1028,31,1
6,11,18,2,916,39,1035,266,2,1
6,11,24,1,936,127,1213,828,195,1
6,11,9,7,932,45,1039,273,14,1
6,11,9,7,943,330,1233,2475,0,0
6,11,9,7,952,206,1445,1598,12,1
6,11,9,7,959,311,1232,2248,0,0
6,11,9,7,930,154,1238,944,14,1
6,11,9,7,911,156,1203,1028,7,1
6,11,9,7,916,44,1018,266,0,0
6,11,10,1,942,45,1101,209,4,1
6,11,10,1,916,47,1025,273,0,0
6,11,10,1,945,329,1247,2475,0,0
6,11,10,1,950,203,1448,1598,13,1
6,11,21,5,916,82,1112,427,209,1
6,11,2,7,945,46,1116,209,19,1
6,11,10,1,929,144,1222,944,0,0
6,11,19,3,921,53,1128,264,84,1
6,11,26,3,900,178,1240,1005,89,1
6,11,21,5,900,330,1214,2446,0,0
6,11,21,5,901,51,1023,273,0,0
6,11,21,5,945,332,1255,2475,0,0
6,11,21,5,946,198,1442,1598,7,1
6,11,21,5,958,322,1300,2248,8,1
6,11,21,5,931,144,1234,944,10,1
6,11,14,5,951,194,1439,1598,5,1
6,11,14,5,958,328,1259,2248,7,1
6,11,14,5,902,54,1031,264,8,1
6,11,14,5,901,155,1211,1028,9,1
6,11,14,5,957,157,1313,1005,13,1
6,11,14,5,927,150,1246,944,22,1
6,11,19,3,911,43,1020,266,0,0
6,11,7,5,928,132,1243,944,19,1
6,11,10,1,920,159,1245,1028,58,1
6,11,20,4,941,46,1046,209,0,0
6,11,20,4,906,47,1013,273,0,0
6,11,20,4,945,345,1258,2475,0,0
6,11,20,4,903,176,1216,1074,0,0
6,11,24,1,930,50,1110,264,27,1
6,11,20,4,957,200,1440,1598,12,1
6,11,20,4,957,316,1239,2248,0,0
6,11,9,7,913,168,1221,1069,30,1
6,11,18,2,930,174,1309,944,45,1
6,11,20,4,928,153,1230,944,6,1
6,11,20,4,921,52,1037,264,0,0
6,11,20,4,902,156,1204,1028,3,1
6,11,19,3,901,188,1244,1069,41,1
6,11,19,3,937,51,1059,209,2,1
6,11,19,3,907,54,1036,273,0,0
6,11,19,3,948,349,1308,2475,0,0
6,11,19,3,946,203,1444,1598,9,1
6,11,22,6,950,199,1428,1598,0,0
6,11,22,6,958,326,1244,2248,0,0
6,11,22,6,934,138,1214,944,3,1
6,11,22,6,921,56,1034,264,0,0
6,11,22,6,901,145,1143,1028,0,0
6,11,22,6,905,42,1010,266,0,0
6,11,23,7,953,46,1056,209,8,1
6,11,23,7,905,47,1005,273,0,0
6,11,23,7,949,333,1247,2475,0,0
6,11,23,7,901,164,1210,1074,0,0
6,11,23,7,943,187,1417,1598,0,0
6,11,23,7,955,314,1239,2248,0,0
6,11,23,7,929,137,1212,944,0,0
6,11,23,7,916,51,1021,264,0,0
6,11,23,7,905,146,1158,1028,1,1
6,11,27,4,902,49,1011,273,0,0
6,11,27,4,947,206,1439,1598,4,1
6,11,27,4,950,327,1249,2248,0,0
6,11,27,4,926,141,1205,944,0,0
6,11,27,4,923,49,1039,264,0,0
6,11,5,3,950,138,1223,1028,66,1
6,11,21,5,905,47,1026,266,0,0
6,11,26,3,929,160,1244,944,20,1
6,11,22,6,944,45,1041,209,0,0
6,11,22,6,905,52,1024,273,1,1
6,11,22,6,950,330,1252,2475,0,0
6,11,22,6,904,165,1205,1074,0,0
6,11,24,1,904,43,1015,266,0,0
6,11,25,2,936,161,1237,1028,68,1
6,11,25,2,900,331,1153,2446,0,0
6,11,25,2,913,43,1016,273,7,1
6,11,25,2,947,337,1252,2475,0,0
6,11,25,2,955,309,1231,2248,0,0
6,11,25,2,933,50,1048,264,9,1
6,11,19,3,927,166,1240,1028,60,1
6,11,25,2,914,41,1011,266,4,1
6,11,21,5,925,54,1121,264,33,1
6,11,26,3,941,44,1046,209,0,0
6,11,3,1,957,207,1456,1598,28,1
6,11,26,3,904,41,1008,273,0,0
6,11,26,3,945,333,1317,2475,9,1
6,11,26,3,929,47,1100,264,16,1
6,11,26,3,906,42,1019,266,0,0
6,11,7,5,950,223,1525,1598,50,1
6,11,6,4,946,211,1456,1598,21,1
6,11,28,5,908,49,1023,266,0,0
6,11,28,5,905,148,1200,1069,5,1
6,11,27,4,902,45,1018,266,0,0
6,11,27,4,910,154,1212,1069,18,1
6,11,6,4,949,151,1248,1028,90,1
6,11,28,5,900,52,1015,273,0,0
6,11,28,5,947,331,1236,2475,0,0
6,11,28,5,908,160,1215,1074,3,1
6,11,28,5,929,136,1215,944,0,0
6,11,28,5,920,56,1039,264,0,0
6,11,28,5,900,110,1118,718,0,0
6,11,23,7,908,47,1009,266,0,0
6,11,24,1,939,45,1054,209,0,0
6,11,24,1,902,322,1155,2446,2,1
6,11,24,1,917,41,1029,273,17,1
6,11,24,1,905,152,1220,1074,3,1
6,11,24,1,906,149,1211,1028,12,1
6,11,15,6,916,113,1144,718,40,1
6,11,30,7,937,44,1039,209,0,0
6,11,30,7,909,335,1209,2446,9,1
6,11,30,7,900,47,1007,273,0,0
6,11,30,7,947,351,1305,2475,0,0
6,11,30,7,959,319,1242,2248,0,0
6,11,30,7,930,130,1201,944,0,0
6,11,30,7,924,53,1037,264,0,0
6,11,30,7,916,141,1158,1028,12,1
6,11,30,7,909,96,1110,718,9,1
6,11,14,5,952,361,1338,2475,32,1
6,11,30,7,908,47,1013,266,0,0
7,11,1,6,929,321,1212,2475,0,0
6,11,29,6,940,46,1042,209,0,0
6,11,29,6,942,344,1251,2475,0,0
6,11,29,6,930,125,1157,944,0,0
6,11,26,3,947,206,1515,1598,40,1
6,11,29,6,921,50,1028,264,0,0
6,11,29,6,902,134,1142,1028,0,0
6,11,29,6,914,45,1011,266,4,1
7,11,1,6,905,207,1258,1598,15,1
7,11,2,7,935,330,1246,2475,5,1
7,11,2,7,915,331,1222,2586,15,1
7,11,2,7,950,205,1253,1521,193,1
7,11,3,1,930,339,1243,2422,0,0
7,11,3,1,924,336,1259,2475,6,1
7,11,4,2,928,346,1242,2422,0,0
7,11,4,2,926,344,1235,2475,0,0
7,11,5,3,926,347,1240,2422,0,0
7,11,5,3,925,335,1227,2475,0,0
7,11,6,4,934,342,1245,2422,4,1
7,11,6,4,927,319,1215,2475,0,0
7,11,7,5,908,139,1234,1069,128,1
7,11,8,6,913,348,1304,2422,38,1
7,11,7,5,953,330,1311,2422,45,1
7,11,7,5,940,334,1322,2475,39,1
7,11,7,5,900,346,1253,2586,20,1
7,11,8,6,901,198,1354,1598,8,1
7,11,9,7,937,366,1320,2422,38,1
7,11,9,7,926,345,1243,2475,0,0
7,11,10,1,940,338,1246,2422,10,1
7,11,10,1,923,339,1242,2475,0,0
7,11,11,2,929,312,1216,2422,0,0
