country,price
Algerian,7355
American,18006
Australian,6508
Brazilian,11078
British,654
Canadian,1389
Chinese,10359
European,200
French,1073
Indonesian,8191
Iraqi,12500
Israeli,5150
Italian,325
Japanese,25151
Javanese,1455
Korean,20625
Moroccan,1477
Persian,6368
Peruvian,5000
Russian,9974
Spanish,1171
Syrian,8750
Turkish,17952
