,date,count
106,12/22/13,562
107,12/23/13,606
108,12/24/13,624
109,12/25/13,501
110,12/26/13,534
111,12/27/13,581
112,12/28/13,540
113,12/29/13,585
115,12/30/13,581
116,12/31/13,628
