FL_DATE,ARR_FLIGHTS,ARR_DEL15,ARR_DEL_PCT,DEP_FLIGHTS,DEP_DEL15,DEP_DEL_PCT
2014-01-01,258,84.0,32.55813953488372,258,79.0,30.62015503875969
2014-01-02,283,192.0,67.84452296819788,283,134.0,47.34982332155477
2014-01-03,282,116.0,41.13475177304964,282,120.0,42.5531914893617
2014-01-04,266,182.0,68.42105263157895,266,180.0,67.66917293233082
2014-01-05,280,170.0,60.714285714285715,280,182.0,65.0
2014-01-06,268,106.0,39.55223880597015,268,113.0,42.16417910447761
2014-01-07,242,121.0,50.0,242,120.0,49.586776859504134
2014-01-08,247,107.0,43.31983805668016,247,112.0,45.34412955465587
2014-01-09,263,56.0,21.29277566539924,263,62.0,23.574144486692017
2014-01-10,263,88.0,33.460076045627375,263,71.0,26.99619771863118
2014-01-11,225,148.0,65.77777777777777,225,104.0,46.22222222222222
2014-01-12,253,50.0,19.76284584980237,253,68.0,26.877470355731226
2014-01-13,258,22.0,8.527131782945736,258,28.0,10.852713178294573
2014-01-14,240,31.0,12.916666666666666,240,30.0,12.5
2014-01-15,245,67.0,27.346938775510203,245,60.0,24.489795918367346
2014-01-16,261,50.0,19.157088122605366,261,43.0,16.47509578544061
2014-01-17,261,40.0,15.32567049808429,261,32.0,12.260536398467433
2014-01-18,225,20.0,8.88888888888889,225,21.0,9.333333333333334
2014-01-19,250,20.0,8.0,250,35.0,14.0
2014-01-20,258,30.0,11.627906976744185,258,36.0,13.953488372093023
2014-01-21,240,66.0,27.5,240,42.0,17.5
2014-01-22,245,89.0,36.326530612244895,245,97.0,39.59183673469388
2014-01-23,260,88.0,33.84615384615385,260,87.0,33.46153846153846
2014-01-24,262,40.0,15.267175572519085,262,49.0,18.702290076335878
2014-01-25,223,96.0,43.04932735426009,223,69.0,30.94170403587444
2014-01-26,254,86.0,33.85826771653543,254,55.0,21.653543307086615
2014-01-27,258,40.0,15.503875968992247,258,40.0,15.503875968992247
2014-01-28,238,28.0,11.764705882352942,238,18.0,7.563025210084033
2014-01-29,244,106.0,43.442622950819676,244,63.0,25.81967213114754
2014-01-30,263,91.0,34.60076045627376,263,60.0,22.813688212927758
2014-01-31,263,62.0,23.574144486692017,263,19.0,7.224334600760456
2014-02-01,224,26.0,11.607142857142858,224,23.0,10.267857142857142
2014-02-02,248,63.0,25.403225806451612,248,36.0,14.516129032258064
2014-02-03,261,178.0,68.19923371647509,261,143.0,54.78927203065134
2014-02-04,238,56.0,23.529411764705884,238,52.0,21.84873949579832
2014-02-05,242,59.0,24.380165289256198,242,47.0,19.421487603305785
2014-02-06,261,101.0,38.69731800766284,261,59.0,22.60536398467433
2014-02-07,261,65.0,24.904214559386972,261,43.0,16.47509578544061
2014-02-08,223,56.0,25.112107623318387,223,38.0,17.04035874439462
2014-02-09,254,105.0,41.338582677165356,254,63.0,24.80314960629921
2014-02-10,258,78.0,30.232558139534884,258,38.0,14.728682170542635
2014-02-11,238,26.0,10.92436974789916,238,22.0,9.243697478991596
2014-02-12,248,55.0,22.177419354838708,248,54.0,21.774193548387096
2014-02-13,276,120.0,43.47826086956522,276,92.0,33.333333333333336
2014-02-14,277,170.0,61.371841155234655,277,133.0,48.014440433213
2014-02-15,252,148.0,58.73015873015873,252,113.0,44.84126984126984
2014-02-16,266,114.0,42.857142857142854,266,110.0,41.35338345864662
2014-02-17,275,63.0,22.90909090909091,275,59.0,21.454545454545453
2014-02-18,269,109.0,40.520446096654275,269,80.0,29.739776951672862
2014-02-19,271,47.0,17.343173431734318,271,49.0,18.081180811808117
2014-02-20,276,35.0,12.681159420289855,276,41.0,14.855072463768115
2014-02-21,276,132.0,47.82608695652174,276,115.0,41.666666666666664
2014-02-22,252,88.0,34.92063492063492,252,79.0,31.349206349206348
2014-02-23,270,45.0,16.666666666666668,270,48.0,17.77777777777778
2014-02-24,274,63.0,22.99270072992701,274,46.0,16.78832116788321
2014-02-25,266,31.0,11.654135338345865,266,22.0,8.270676691729323
2014-02-26,265,99.0,37.35849056603774,265,74.0,27.92452830188679
2014-02-27,272,123.0,45.220588235294116,272,78.0,28.676470588235293
2014-02-28,272,118.0,43.38235294117647,272,92.0,33.8235294117647
2014-03-01,245,83.0,33.87755102040816,245,47.0,19.183673469387756
2014-03-02,273,66.0,24.175824175824175,273,50.0,18.315018315018314
2014-03-03,275,48.0,17.454545454545453,275,34.0,12.363636363636363
2014-03-04,270,49.0,18.14814814814815,270,35.0,12.962962962962964
2014-03-05,269,45.0,16.728624535315983,269,35.0,13.011152416356877
2014-03-06,279,59.0,21.14695340501792,279,46.0,16.487455197132615
2014-03-07,280,42.0,15.0,280,57.0,20.357142857142858
2014-03-08,254,34.0,13.385826771653543,254,36.0,14.173228346456693
