LivingArea,NumBedrooms,Pool,ListPrice,DwellingType
3107,3,Community,1999000,Townhouse
1243,2,Community,299000,Apartment Style/Flat
1212,2,Community,125000,Apartment Style/Flat
1353,3,Community,163900,Townhouse
1990,5,Private,283000,Single Family - Detached
2330,4,Private,399900,Single Family - Detached
1849,3,None,89000,Mfg/Mobile Housing
1102,2,Community,139875,Single Family - Detached
1683,4,Private,179000,Single Family - Detached
3442,5,Both Private & Community,336900,Single Family - Detached
3138,4,Community,394999,Single Family - Detached
1610,2,Community,139000,Single Family - Detached
1698,2,Community,159900,Single Family - Detached
1396,3,Private,286000,Single Family - Detached
1419,3,Community,196000,Apartment Style/Flat
2395,3,None,335000,Single Family - Detached
2240,3,Private,295000,Single Family - Detached
784,1,Community,59900,Apartment Style/Flat
2567,4,None,299000,Single Family - Detached
1539,3,Private,160000,Single Family - Detached
3229,5,Private,429900,Single Family - Detached
1448,2,Both Private & Community,164900,Townhouse
973,2,Community,146900,Townhouse
3294,5,Private,750000,Single Family - Detached
1236,2,None,139900,Single Family - Detached
986,2,Community,59500,Townhouse
1815,4,None,199500,Single Family - Detached
1266,3,Community,115000,Single Family - Detached
1827,2,Community,142500,Single Family - Detached
5019,6,Private,530000,Single Family - Detached
3457,5,Private,499895,Single Family - Detached
1961,4,Private,175400,Single Family - Detached
1612,3,Community,164999,Single Family - Detached
1923,4,None,214900,Single Family - Detached
2483,4,None,153500,Single Family - Detached
1581,3,Community,159900,Single Family - Detached
2026,3,Private,200000,Single Family - Detached
2505,3,None,201990,Single Family - Detached
2821,4,Private,180000,Single Family - Detached
2971,5,None,345000,Single Family - Detached
1979,4,None,315000,Single Family - Detached
1394,3,None,287500,Single Family - Detached
1510,4,None,188000,Single Family - Detached
1604,2,Community,257000,Single Family - Detached
2165,3,None,329900,Single Family - Detached
1298,2,None,126900,Single Family - Detached
1377,3,None,219900,Single Family - Detached
3451,4,Both Private & Community,874500,Single Family - Detached
2267,4,Private,264900,Single Family - Detached
1485,3,None,184500,Single Family - Detached
1224,2,Community,74500,Apartment Style/Flat
1412,3,None,124000,Single Family - Detached
1957,3,Both Private & Community,329000,Single Family - Detached
2161,2,Community,249000,Single Family - Detached
1680,3,Private,259000,Single Family - Detached
2166,3,Community,220000,Single Family - Detached
666,1,Community,149000,Apartment Style/Flat
3088,6,Private,340000,Single Family - Detached
1764,3,Community,224800,Single Family - Detached
1029,2,Community,174900,Apartment Style/Flat
1083,2,Both Private & Community,210120,Apartment Style/Flat
1188,3,Community,120000,Townhouse
1727,3,None,119500,Single Family - Detached
1537,3,None,145000,Single Family - Detached
1908,4,None,110000,Single Family - Detached
3110,4,None,201000,Single Family - Detached
2818,5,None,225000,Single Family - Detached
1057,2,None,74900,Mfg/Mobile Housing
1348,4,None,210000,Single Family - Detached
1522,3,None,220000,Single Family - Detached
4169,5,Private,665000,Single Family - Detached
7587,5,Private,3250000,Single Family - Detached
2195,3,None,450000,Single Family - Detached
879,1,Community,65000,Apartment Style/Flat
1564,3,None,229000,Single Family - Detached
2312,4,Private,309000,Single Family - Detached
1987,3,None,245000,Single Family - Detached
1328,2,Community,75000,Apartment Style/Flat
1582,3,Community,199600,Single Family - Detached
1668,3,None,161900,Single Family - Detached
2317,4,Private,189900,Single Family - Detached
1636,3,None,129800,Single Family - Detached
1646,3,None,149900,Single Family - Detached
2687,4,None,80000,Single Family - Detached
1458,2,None,82900,Single Family - Detached
2389,4,None,277000,Single Family - Detached
1770,3,Community,155000,Single Family - Detached
2101,4,None,174900,Single Family - Detached
1634,4,None,359900,Single Family - Detached
824,2,None,135000,Single Family - Detached
1125,3,None,205000,Single Family - Detached
2677,3,Both Private & Community,659000,Single Family - Detached
2526,5,Private,462250,Single Family - Detached
2290,4,None,239900,Single Family - Detached
1332,2,None,199000,Single Family - Detached
7038,5,Both Private & Community,1450000,Single Family - Detached
3550,4,Both Private & Community,1025000,Single Family - Detached
1501,3,None,239900,Single Family - Detached
3377,3,None,475000,Single Family - Detached
1763,3,None,214900,Single Family - Detached
400,1,Community,59900,Mfg/Mobile Housing
1963,3,Community,154999,Townhouse
1564,3,Private,129900,Single Family - Detached
1582,3,Community,204900,Single Family - Detached
4128,4,Private,1195000,Single Family - Detached
1350,3,None,103800,Single Family - Detached
3712,5,None,243000,Single Family - Detached
1256,2,Community,94000,Townhouse
1321,2,None,68000,Single Family - Detached
1623,2,Community,225000,Patio Home
1230,4,None,120000,Mfg/Mobile Housing
1790,2,Community,273000,Single Family - Detached
3628,4,Private,1250000,Single Family - Detached
1626,2,Community,225000,Apartment Style/Flat
1793,5,None,130000,Single Family - Detached
1254,3,Community,130888,Townhouse
2779,3,Both Private & Community,625000,Single Family - Detached
2234,4,None,299900,Single Family - Detached
1922,2,Community,228900,Single Family - Detached
1967,4,Private,285000,Single Family - Detached
3669,4,Private,704900,Single Family - Detached
1572,3,Community,170000,Townhouse
1555,3,None,149900,Single Family - Detached
1535,3,Community,250000,Single Family - Detached
1607,4,None,159500,Single Family - Detached
1445,2,Community,269900,Single Family - Detached
1529,3,None,240000,Single Family - Detached
1402,3,Community,269900,Single Family - Detached
1661,3,Community,255000,Single Family - Detached
2100,5,None,169900,Single Family - Detached
2277,3,Community,235267,Single Family - Detached
2454,2,Community,415000,Single Family - Detached
2279,4,Private,249999,Single Family - Detached
1641,4,None,141500,Single Family - Detached
2983,5,None,355000,Single Family - Detached
1422,3,None,234900,Single Family - Detached
1908,3,None,200000,Single Family - Detached
1557,3,None,347900,Single Family - Detached
2304,3,Private,188800,Single Family - Detached
2970,4,Private,399900,Single Family - Detached
1716,3,None,157400,Single Family - Detached
3609,4,Both Private & Community,765000,Single Family - Detached
1649,4,Private,234900,Single Family - Detached
1326,3,None,139900,Single Family - Detached
1329,4,Private,85000,Single Family - Detached
2507,4,Both Private & Community,259000,Single Family - Detached
1353,2,Community,425000,Apartment Style/Flat
1569,4,None,104900,Single Family - Detached
2917,4,Private,599800,Single Family - Detached
1500,3,None,175000,Single Family - Detached
2570,4,None,299900,Single Family - Detached
1978,4,None,144000,Single Family - Detached
1572,3,Private,190000,Single Family - Detached
2152,4,None,243000,Single Family - Detached
1278,2,Community,257900,Apartment Style/Flat
1354,3,None,150000,Single Family - Detached
1064,2,None,69500,Apartment Style/Flat
1628,3,None,205000,Single Family - Detached
2170,5,Private,230000,Single Family - Detached
1912,4,None,132900,Single Family - Detached
4300,4,Private,879900,Single Family - Detached
1508,3,None,131900,Single Family - Detached
1465,3,Community,129900,Single Family - Detached
1811,4,Both Private & Community,239000,Single Family - Detached
1007,2,Community,131900,Townhouse
2337,4,Private,210000,Single Family - Detached
2010,4,None,185000,Single Family - Detached
1906,3,Community,349900,Townhouse
1800,3,None,230000,Single Family - Detached
3275,4,Both Private & Community,395000,Single Family - Detached
2450,4,Private,299900,Single Family - Detached
1888,2,None,168000,Patio Home
1440,3,Community,210000,Townhouse
1099,2,Community,131500,Single Family - Detached
1118,3,Community,99000,Townhouse
3000,4,Community,925000,Single Family - Detached
1766,3,Community,345000,Patio Home
1872,2,Community,235000,Single Family - Detached
1230,3,Community,149900,Single Family - Detached
728,2,None,52000,Mfg/Mobile Housing
2274,4,None,379000,Single Family - Detached
2604,3,Community,445000,Single Family - Detached
9412,4,Private,4699000,Single Family - Detached
1778,4,None,189000,Single Family - Detached
976,2,Community,99995,Single Family - Detached
1228,4,None,87000,Single Family - Detached
1524,4,None,169900,Single Family - Detached
1891,3,None,259000,Single Family - Detached
1440,3,None,155000,Single Family - Detached
1576,3,None,199000,Single Family - Detached
1780,3,None,294995,Single Family - Detached
1349,3,Private,172500,Single Family - Detached
1642,3,None,250000,Single Family - Detached
2341,4,Private,497000,Single Family - Detached
1264,2,Community,194999,Patio Home
1469,4,None,210000,Single Family - Detached
924,3,None,47000,Single Family - Detached
2220,3,None,99900,Single Family - Detached
532,1,Community,60000,Mfg/Mobile Housing
1298,3,Both Private & Community,225000,Single Family - Detached
1832,3,Community,137500,Single Family - Detached
1376,2,Community,135000,Apartment Style/Flat
3348,5,None,319000,Single Family - Detached
1465,3,None,238000,Single Family - Detached
3974,5,Private,400000,Single Family - Detached
2112,4,Private,299997,Single Family - Detached
1694,3,Private,154000,Single Family - Detached
2168,4,None,529000,Single Family - Detached
2111,4,Private,215000,Single Family - Detached
2353,3,Private,145000,Single Family - Detached
999,3,None,112000,Single Family - Detached
2162,4,None,230000,Single Family - Detached
2417,3,Community,125000,Single Family - Detached
2003,4,None,239900,Single Family - Detached
1845,4,Private,229000,Single Family - Detached
1489,3,Community,330000,Single Family - Detached
2287,4,Private,432000,Single Family - Detached
2178,4,None,315900,Single Family - Detached
2652,4,None,349000,Single Family - Detached
1584,4,None,160000,Single Family - Detached
1854,3,Private,219900,Single Family - Detached
1226,3,Community,184000,Single Family - Detached
2336,3,Private,372000,Single Family - Detached
1597,2,Community,185000,Single Family - Detached
1602,3,Community,168900,Townhouse
1989,5,None,129500,Single Family - Detached
2779,4,None,295000,Single Family - Detached
1863,4,Private,259000,Single Family - Detached
4373,4,Community,1399000,Single Family - Detached
3124,3,Community,452250,Single Family - Detached
1800,3,Private,399000,Single Family - Detached
1824,5,Private,159900,Single Family - Detached
1531,3,Community,219990,Single Family - Detached
3840,5,Private,424900,Single Family - Detached
1661,3,None,159900,Single Family - Detached
1682,2,Community,119500,Single Family - Detached
2350,3,None,239464,Single Family - Detached
4319,5,Both Private & Community,649900,Single Family - Detached
1670,3,Community,179900,Single Family - Detached
1886,2,Community,125000,Single Family - Detached
2336,4,None,150000,Single Family - Detached
1320,3,None,74900,Single Family - Detached
1954,3,Community,439000,Townhouse
1720,3,Private,185000,Single Family - Detached
1587,3,Private,224900,Single Family - Detached
1576,3,None,184900,Single Family - Detached
1519,2,Community,220000,Single Family - Detached
1483,3,None,103900,Single Family - Detached
2190,3,Private,300000,Single Family - Detached
1527,3,None,149900,Single Family - Detached
2985,5,Community,299750,Single Family - Detached
1810,2,Community,489000,Townhouse
1200,3,None,184500,Single Family - Detached
3976,5,Private,1125000,Single Family - Detached
2656,4,None,490000,Single Family - Detached
1655,3,None,219900,Single Family - Detached
2006,4,Community,219900,Single Family - Detached
3961,4,None,979900,Single Family - Detached
1556,3,None,196400,Single Family - Detached
3264,4,Both Private & Community,389000,Single Family - Detached
2335,4,Private,244000,Single Family - Detached
4060,5,None,725000,Single Family - Detached
2006,4,Community,219900,Single Family - Detached
1351,2,Community,219987,Townhouse
2004,4,Private,315000,Single Family - Detached
2380,4,Community,245900,Single Family - Detached
1301,2,Community,198000,Single Family - Detached
3900,5,Community,524900,Single Family - Detached
2650,3,Community,549000,Townhouse
1702,3,Community,110000,Single Family - Detached
1037,2,Community,163900,Apartment Style/Flat
2500,4,Private,419900,Single Family - Detached
1100,3,None,171900,Single Family - Detached
1367,3,None,180000,Single Family - Detached
1975,3,Private,388000,Townhouse
160,3,None,19900,Mfg/Mobile Housing
2153,3,Private,299000,Single Family - Detached
1694,3,Private,220000,Single Family - Detached
1454,2,Community,237000,Single Family - Detached
2278,3,None,285990,Single Family - Detached
2668,2,Both Private & Community,360000,Single Family - Detached
1969,3,None,399999,Single Family - Detached
2102,4,Community,197900,Townhouse
1785,2,None,225000,Townhouse
2415,4,None,333495,Single Family - Detached
2406,3,None,499999,Single Family - Detached
1221,3,None,99999,Single Family - Detached
1416,3,None,115000,Single Family - Detached
3412,5,None,319900,Single Family - Detached
1539,3,None,160000,Single Family - Detached
1885,3,None,259900,Single Family - Detached
2618,4,Community,389800,Single Family - Detached
1336,3,None,165000,Single Family - Detached
1288,3,None,170000,Single Family - Detached
3435,4,Community,353499,Single Family - Detached
1503,3,Both Private & Community,277000,Single Family - Detached
1192,3,Private,172500,Single Family - Detached
1429,4,None,124777,Single Family - Detached
1714,3,None,144900,Single Family - Detached
1934,2,Community,269500,Single Family - Detached
1249,2,Community,109000,Mfg/Mobile Housing
5794,5,Private,2475000,Single Family - Detached
2870,4,Private,274900,Single Family - Detached
2236,4,Community,159900,Single Family - Detached
2006,4,None,219900,Single Family - Detached
1782,4,None,204900,Single Family - Detached
3397,3,Private,1129000,Single Family - Detached
1385,2,Community,79999,Apartment Style/Flat
1080,2,None,70000,Mfg/Mobile Housing
1827,2,Community,160000,Single Family - Detached
1415,3,None,133000,Single Family - Detached
1171,2,None,124900,Townhouse
4357,5,Private,1035000,Single Family - Detached
2409,4,None,279200,Single Family - Detached
1094,3,Community,139000,Mfg/Mobile Housing
2187,4,None,142000,Single Family - Detached
2089,3,None,248000,Single Family - Detached
3468,5,Community,429900,Single Family - Detached
1412,3,None,159400,Single Family - Detached
2884,3,Private,1250000,Single Family - Detached
936,2,None,168000,Single Family - Detached
4087,5,Private,546500,Single Family - Detached
4359,4,Both Private & Community,600000,Single Family - Detached
2972,4,Both Private & Community,327000,Single Family - Detached
1353,3,Community,165000,Townhouse
4428,6,None,425000,Single Family - Detached
864,2,Community,169900,Mfg/Mobile Housing
1862,3,None,244900,Single Family - Detached
3331,4,None,385000,Single Family - Detached
1676,3,None,235000,Single Family - Detached
1344,2,Community,149900,Mfg/Mobile Housing
2647,4,Private,335900,Single Family - Detached
1683,3,None,229900,Single Family - Detached
1603,3,None,129900,Single Family - Detached
1664,3,None,103000,Single Family - Detached
2623,4,None,618309,Single Family - Detached
2120,3,Both Private & Community,449900,Single Family - Detached
1500,4,Community,73000,Townhouse
1318,2,Community,239900,Patio Home
1641,2,Community,192000,Single Family - Detached
1945,4,None,219000,Single Family - Detached
2158,3,Private,270000,Single Family - Detached
1125,2,Community,167000,Single Family - Detached
2537,4,None,335000,Single Family - Detached
4956,4,Private,1239000,Single Family - Detached
1246,2,Community,274900,Apartment Style/Flat
1412,3,Community,175000,Apartment Style/Flat
4746,4,Private,1225000,Single Family - Detached
1417,3,None,164000,Single Family - Detached
1152,3,None,86000,Single Family - Detached
1701,3,Private,399900,Single Family - Detached
3527,4,Private,219900,Single Family - Detached
3464,3,Both Private & Community,1150000,Single Family - Detached
1874,3,Private,350000,Single Family - Detached
2054,3,Both Private & Community,265500,Single Family - Detached
2290,4,None,125000,Single Family - Detached
1924,3,None,248000,Single Family - Detached
1850,3,None,265000,Single Family - Detached
2414,4,Private,275000,Single Family - Detached
1755,4,None,128800,Single Family - Detached
3418,4,Private,450000,Single Family - Detached
1401,3,Community,135000,Townhouse
1320,3,Community,107500,Townhouse
2113,3,Private,427500,Single Family - Detached
1642,3,Private,239000,Single Family - Detached
1498,3,None,265000,Single Family - Detached
6701,6,Private,875000,Single Family - Detached
1616,3,None,130000,Single Family - Detached
1520,2,None,120000,Single Family - Detached
2146,4,None,389000,Single Family - Detached
1093,1,Community,235900,Apartment Style/Flat
1710,4,None,225000,Single Family - Detached
924,2,Community,73000,Townhouse
680,1,Community,45000,Townhouse
2648,5,Private,250000,Single Family - Detached
2201,3,Community,264900,Single Family - Detached
2793,4,Community,329900,Single Family - Detached
1456,3,None,135000,Single Family - Detached
2365,2,Community,189000,Single Family - Detached
1680,3,None,135000,Single Family - Detached
2093,4,None,424500,Single Family - Detached
1668,3,None,240000,Single Family - Detached
2798,5,Private,539900,Single Family - Detached
3053,4,None,265000,Single Family - Detached
1749,4,None,137000,Single Family - Detached
1325,2,None,247900,Single Family - Detached
1494,3,None,264900,Single Family - Detached
1194,3,None,264900,Single Family - Detached
1477,3,None,204900,Single Family - Detached
3186,5,Private,399000,Single Family - Detached
924,2,Community,53000,Townhouse
1597,3,None,197500,Single Family - Detached
1460,3,None,163900,Single Family - Detached
1877,3,Private,238000,Single Family - Detached
1820,4,Community,230000,Single Family - Detached
972,2,Community,57900,Townhouse
5042,4,Private,1499990,Single Family - Detached
1674,4,None,164900,Single Family - Detached
1759,3,None,248000,Single Family - Detached
2364,4,Private,295000,Single Family - Detached
2220,3,None,200000,Single Family - Detached
2232,4,None,161800,Single Family - Detached
4304,5,Community,559000,Single Family - Detached
2615,5,Private,230000,Single Family - Detached
2422,4,Private,339900,Single Family - Detached
897,2,Community,93000,Apartment Style/Flat
2270,4,Private,207000,Single Family - Detached
2602,3,None,6895000,Single Family - Detached
984,2,Community,84900,Townhouse
1976,3,Community,389000,Single Family - Detached
1632,3,None,134900,Townhouse
1141,2,Community,126900,Townhouse
1440,3,None,116500,Single Family - Detached
1420,2,Community,225000,Single Family - Detached
1768,3,Private,189900,Single Family - Detached
1604,2,Community,325000,Single Family - Detached
1807,4,None,175000,Single Family - Detached
1557,4,None,149900,Single Family - Detached
1921,4,Private,189900,Single Family - Detached
1570,3,Private,185000,Single Family - Detached
923,2,Community,79900,Townhouse
2756,4,Private,267000,Single Family - Detached
1440,3,None,142900,Single Family - Detached
2016,4,None,102000,Single Family - Detached
1147,3,None,102500,Single Family - Detached
3800,4,None,705000,Single Family - Detached
1143,3,None,79900,Single Family - Detached
1925,4,None,139900,Single Family - Detached
1826,4,Private,195000,Single Family - Detached
1435,2,Community,195000,Single Family - Detached
2121,4,Private,334900,Single Family - Detached
2389,4,None,249824,Single Family - Detached
3306,4,None,434900,Single Family - Detached
1608,3,Private,329000,Single Family - Detached
1615,3,None,204500,Single Family - Detached
5840,5,Private,1500000,Single Family - Detached
3490,4,Private,625000,Single Family - Detached
2174,4,None,223000,Single Family - Detached
1822,2,Community,296500,Patio Home
2150,3,Community,174900,Single Family - Detached
5024,6,Private,1049000,Single Family - Detached
3934,3,None,1175000,Single Family - Detached
3208,4,Private,895000,Single Family - Detached
2071,3,Community,399000,Single Family - Detached
2764,4,None,289900,Single Family - Detached
1524,3,Private,159000,Single Family - Detached
1876,2,None,324900,Loft Style
1280,3,None,135000,Single Family - Detached
1096,3,None,109900,Single Family - Detached
2470,4,Private,330000,Single Family - Detached
2192,4,None,104900,Single Family - Detached
1796,4,Community,179900,Single Family - Detached
3496,5,Private,339900,Single Family - Detached
1517,3,Community,138000,Single Family - Detached
1336,2,Community,209800,Townhouse
2609,4,None,259900,Single Family - Detached
1635,3,None,185000,Single Family - Detached
2022,2,Community,318000,Single Family - Detached
2214,4,None,198997,Single Family - Detached
3261,5,Both Private & Community,347400,Single Family - Detached
1138,3,None,169900,Single Family - Detached
1555,2,Community,187000,Single Family - Detached
1441,2,Community,135000,Mfg/Mobile Housing
2062,3,Community,375000,Patio Home
967,2,Community,105900,Townhouse
1886,3,Both Private & Community,189900,Single Family - Detached
1414,2,None,149900,Single Family - Detached
1165,3,None,175000,Single Family - Detached
3312,5,Private,479000,Single Family - Detached
2228,3,Private,354800,Single Family - Detached
3507,3,Both Private & Community,625500,Single Family - Detached
2053,4,Private,409000,Single Family - Detached
1341,2,Community,99900,Townhouse
1265,3,None,130000,Single Family - Detached
1880,4,Private,173999,Single Family - Detached
1024,2,Community,99900,Townhouse
2595,4,None,199900,Single Family - Detached
2025,3,None,300000,Single Family - Detached
1906,4,Private,164900,Single Family - Detached
1978,3,None,230000,Single Family - Detached
2316,3,Private,375000,Single Family - Detached
966,2,Both Private & Community,79900,Townhouse
1440,2,None,199900,Single Family - Detached
6723,6,Private,2199800,Single Family - Detached
3120,4,None,275000,Single Family - Detached
1324,2,Community,88500,Gemini/Twin Home
3438,5,Both Private & Community,799000,Single Family - Detached
2649,4,Private,332000,Single Family - Detached
1533,3,None,140000,Single Family - Detached
2367,4,Both Private & Community,239990,Single Family - Detached
2084,4,None,205000,Single Family - Detached
1708,3,None,169000,Single Family - Detached
2174,3,Private,479000,Single Family - Detached
1220,3,Community,129900,Townhouse
1080,2,Community,82500,Single Family - Detached
1450,2,Community,179900,Townhouse
1964,3,Private,274999,Single Family - Detached
1308,3,None,129900,Single Family - Detached
2132,3,Community,270000,Single Family - Detached
1212,3,None,99500,Townhouse
1185,3,None,189900,Single Family - Detached
1091,3,None,135000,Single Family - Detached
1700,2,None,102500,Mfg/Mobile Housing
1714,3,None,164900,Single Family - Detached
2260,3,None,210000,Single Family - Detached
1941,2,Community,144900,Single Family - Detached
1860,4,None,209900,Single Family - Detached
1318,2,None,59500,Apartment Style/Flat
3701,4,Private,810000,Single Family - Detached
3290,5,Private,465000,Single Family - Detached
4657,4,Private,1000000,Single Family - Detached
1510,3,Private,200000,Single Family - Detached
944,2,Community,102000,Townhouse
2165,4,None,200000,Single Family - Detached
2037,4,None,245000,Single Family - Detached
2000,4,Private,314900,Single Family - Detached
2024,3,None,173000,Single Family - Detached
1451,3,None,140500,Single Family - Detached
1444,2,Community,194900,Townhouse
1625,3,Private,219800,Single Family - Detached
1628,2,Community,194890,Patio Home
1440,6,None,125000,Single Family - Detached
2588,3,None,410000,Single Family - Detached
3434,4,None,195000,Single Family - Detached
2200,3,None,225000,Single Family - Detached
1763,2,Community,274900,Single Family - Detached
1630,3,Community,208900,Townhouse
1826,3,Private,355000,Single Family - Detached
871,2,Community,90000,Townhouse
1631,2,Community,304674,Single Family - Detached
2916,4,Both Private & Community,360000,Single Family - Detached
1770,3,None,289000,Gemini/Twin Home
1734,2,Community,169900,Single Family - Detached
2100,4,Community,179900,Single Family - Detached
1630,3,Community,203900,Townhouse
2590,3,Community,320000,Townhouse
1040,2,Community,125900,Mfg/Mobile Housing
3232,5,Private,482900,Single Family - Detached
3795,4,Community,895000,Single Family - Detached
3694,5,Both Private & Community,399000,Single Family - Detached
1260,3,None,98000,Single Family - Detached
2300,4,Community,272900,Single Family - Detached
1388,3,None,147500,Single Family - Detached
2980,4,Private,575000,Single Family - Detached
1554,3,Community,229900,Townhouse
3026,4,Private,439955,Single Family - Detached
660,1,Community,65000,Apartment Style/Flat
2732,4,Both Private & Community,392000,Single Family - Detached
1490,2,Community,100500,Single Family - Detached
3326,5,None,199900,Single Family - Detached
924,1,Community,107000,Townhouse
2476,3,Community,525000,Single Family - Detached
2192,4,None,115000,Single Family - Detached
3096,3,Private,529900,Single Family - Detached
1723,3,Community,212500,Single Family - Detached
1401,3,Private,194900,Single Family - Detached
2876,4,Private,525000,Single Family - Detached
1723,3,Community,299000,Single Family - Detached
868,1,None,169000,Single Family - Detached
1965,4,Community,247400,Single Family - Detached
1045,2,Community,144900,Single Family - Detached
2441,3,None,789000,Single Family - Detached
3795,4,Community,895000,Single Family - Detached
1777,3,Private,170000,Single Family - Detached
1294,2,Community,168500,Single Family - Detached
1834,3,None,262000,Single Family - Detached
6388,6,Community,1550000,Single Family - Detached
1754,4,None,214900,Single Family - Detached
1232,3,None,119500,Mfg/Mobile Housing
1503,4,Private,124900,Single Family - Detached
3817,5,None,239900,Single Family - Detached
1868,4,Community,159900,Single Family - Detached
3108,3,None,513900,Single Family - Detached
3290,4,Community,297500,Single Family - Detached
1300,2,Community,179500,Apartment Style/Flat
1116,2,Community,159500,Apartment Style/Flat
1116,2,Community,159500,Apartment Style/Flat
1715,3,None,219000,Single Family - Detached
672,2,None,25500,Mfg/Mobile Housing
2113,3,Private,159000,Single Family - Detached
2161,4,Private,214000,Single Family - Detached
1745,3,Private,177500,Single Family - Detached
1736,3,None,123500,Single Family - Detached
1525,3,Community,150000,Single Family - Detached
1800,3,None,197000,Single Family - Detached
3105,4,Community,579000,Single Family - Detached
1152,2,None,107500,Single Family - Detached
3200,4,Private,595000,Single Family - Detached
2349,3,Private,450000,Single Family - Detached
1539,3,None,225000,Single Family - Detached
2510,4,Private,183648,Single Family - Detached
966,2,Community,92000,Townhouse
1326,3,None,136000,Townhouse
1619,3,Community,155000,Townhouse
2189,4,Private,169900,Single Family - Detached
2898,3,Community,735000,Single Family - Detached
1248,3,Community,219000,Townhouse
1999,3,Private,299900,Single Family - Detached
1617,2,Private,378500,Single Family - Detached
1152,2,None,139000,Mfg/Mobile Housing
5731,6,Private,1695000,Single Family - Detached
1288,3,None,177000,Single Family - Detached
4220,4,Private,1474500,Single Family - Detached
1640,4,Private,187500,Single Family - Detached
2347,3,None,286900,Single Family - Detached
1311,2,Community,128000,Single Family - Detached
2684,3,None,450000,Single Family - Detached
1677,3,Community,299500,Single Family - Detached
1183,2,Community,169900,Single Family - Detached
1120,2,Community,103000,Apartment Style/Flat
1414,2,Community,175000,Single Family - Detached
1910,2,Community,209900,Patio Home
1827,3,Private,235000,Single Family - Detached
1320,3,Community,152500,Single Family - Detached
1525,4,Community,179900,Single Family - Detached
1535,2,Community,269000,Single Family - Detached
1265,2,Community,245000,Single Family - Detached
1748,3,Private,230000,Single Family - Detached
4400,4,Private,570000,Single Family - Detached
2179,4,Private,259900,Single Family - Detached
2739,4,Community,320000,Single Family - Detached
3089,5,Both Private & Community,395000,Single Family - Detached
1520,3,None,207500,Single Family - Detached
992,3,None,69500,Mfg/Mobile Housing
1324,3,None,135000,Single Family - Detached
1795,2,None,259900,Townhouse
2576,4,None,179900,Single Family - Detached
2336,4,None,157000,Single Family - Detached
2339,3,Community,525000,Townhouse
2260,4,None,179400,Single Family - Detached
2007,3,Private,383000,Single Family - Detached
1116,2,Community,159900,Single Family - Detached
2117,3,Both Private & Community,328000,Single Family - Detached
2226,3,Community,459900,Single Family - Detached
2993,4,Community,356750,Single Family - Detached
3112,5,Private,499000,Single Family - Detached
3035,4,Private,295000,Single Family - Detached
1300,2,None,279000,Patio Home
1459,3,None,138900,Single Family - Detached
1535,3,Community,153000,Townhouse
1655,3,None,269900,Single Family - Detached
1350,3,None,235000,Single Family - Detached
3812,4,Both Private & Community,769000,Single Family - Detached
1720,3,Private,168900,Single Family - Detached
1248,3,Private,204000,Single Family - Detached
2148,4,None,435000,Single Family - Detached
1868,4,Private,299900,Single Family - Detached
2041,3,Private,425000,Single Family - Detached
1079,2,None,155000,Single Family - Detached
2009,4,None,238000,Single Family - Detached
924,2,Community,118000,Apartment Style/Flat
1526,3,None,162850,Single Family - Detached
1666,4,None,150000,Single Family - Detached
1508,3,Private,294950,Single Family - Detached
1704,5,None,189000,Single Family - Detached
4366,3,None,494900,Single Family - Detached
3106,4,Private,835000,Single Family - Detached
976,2,None,115000,Single Family - Detached
2035,4,Private,166700,Single Family - Detached
2034,4,Private,179500,Single Family - Detached
2106,3,Private,159000,Single Family - Detached
3099,4,None,314900,Single Family - Detached
1156,3,Private,129900,Single Family - Detached
3099,4,None,344700,Single Family - Detached
1156,3,Private,129900,Single Family - Detached
1998,3,None,429900,Single Family - Detached
2703,4,None,340000,Single Family - Detached
1466,3,Community,327900,Single Family - Detached
1824,2,Both Private & Community,379500,Single Family - Detached
3437,3,Both Private & Community,549500,Single Family - Detached
1450,2,Community,222000,Patio Home
1152,3,None,184900,Single Family - Detached
1119,4,None,110000,Townhouse
1720,4,Private,194000,Single Family - Detached
2109,4,Private,239900,Single Family - Detached
2465,4,Private,286500,Single Family - Detached
3089,4,Community,550000,Single Family - Detached
1704,3,None,219900,Single Family - Detached
1096,3,None,113000,Single Family - Detached
1598,4,None,122000,Single Family - Detached
1068,2,Community,159000,Single Family - Detached
3999,3,Community,729000,Single Family - Detached
1068,2,Community,159000,Single Family - Detached
2219,4,None,230000,Single Family - Detached
2880,5,None,449500,Single Family - Detached
1826,2,Community,299950,Single Family - Detached
966,3,None,55000,Single Family - Detached
1818,4,None,164000,Single Family - Detached
1920,4,None,189900,Single Family - Detached
4400,3,Community,1100000,Single Family - Detached
1398,3,None,88500,Single Family - Detached
1717,2,Community,435000,Townhouse
960,2,Community,155000,Apartment Style/Flat
2638,3,None,295000,Single Family - Detached
1073,2,Community,199500,Apartment Style/Flat
1144,3,None,59900,Townhouse
4568,4,Community,1895000,Single Family - Detached
2527,5,Both Private & Community,327000,Single Family - Detached
1911,3,Community,383000,Townhouse
2883,5,None,184900,Single Family - Detached
2307,3,Private,899000,Single Family - Detached
2248,4,Private,259900,Single Family - Detached
2636,3,Community,349000,Single Family - Detached
2400,4,None,151998,Single Family - Detached
2132,3,Community,239900,Single Family - Detached
1358,3,None,120000,Single Family - Detached
1070,2,Community,209999,Patio Home
1461,3,None,164000,Single Family - Detached
